Date,NFLX,META,MSFT
2024-01-02,468.5,344.4006652832031,366.10552978515625
2024-01-03,470.260009765625,342.5905456542969,365.8390197753906
2024-01-04,474.6700134277344,345.22607421875,363.2131652832031
2024-01-05,474.05999755859375,350.02972412109375,363.0256042480469
2024-01-08,485.0299987792969,356.7030944824219,369.87646484375
2024-01-09,482.0899963378906,355.47979736328125,370.96240234375
2024-01-10,478.3299865722656,368.44866943359375,377.8526306152344
2024-01-11,492.2300109863281,367.653076171875,379.6887512207031
2024-01-12,492.1600036621094,372.4467468261719,383.4794006347656
2024-01-16,481.239990234375,365.4551086425781,385.25634765625
2024-01-17,480.3299865722656,366.3601379394531,384.4666442871094
2024-01-18,485.30999755859375,374.0777587890625,388.81005859375
2024-01-19,482.95001220703125,381.35784912109375,393.5484313964844
2024-01-22,485.7099914550781,379.69696044921875,391.4162292480469
2024-01-23,492.19000244140625,383.09832763671875,393.77545166015625
2024-01-24,544.8699951171875,388.5683288574219,397.3883972167969
2024-01-25,562.0,391.0347595214844,399.6687927246094
2024-01-26,570.4199829101562,391.9895324707031,398.7408447265625
2024-01-29,575.7899780273438,398.8320007324219,404.4564514160156
2024-01-30,562.8499755859375,397.877197265625,403.3409423828125
2024-01-31,564.1099853515625,388.0113830566406,392.4723815917969
2024-02-01,567.510009765625,392.6259765625,398.59271240234375
2024-02-02,564.6400146484375,472.39837646484375,405.9371643066406
2024-02-05,562.0599975585938,456.9034118652344,400.43878173828125
2024-02-06,555.8800048828125,452.2389831542969,400.28076171875
2024-02-07,559.2999877929688,467.0278625488281,408.7308044433594
2024-02-08,558.530029296875,467.43560791015625,408.7900390625
2024-02-09,561.3200073242188,465.555908203125,415.1473083496094
2024-02-12,557.8499755859375,466.34161376953125,409.92529296875
2024-02-13,554.52001953125,457.6094970703125,401.10015869140625
2024-02-14,579.3300170898438,470.6977233886719,404.9769592285156
2024-02-15,593.4600219726562,481.3890686035156,402.0791931152344
2024-02-16,583.9500122070312,470.737548828125,399.6067810058594
2024-02-20,575.1300048828125,469.17608642578125,398.35076904296875
2024-02-21,573.3499755859375,465.9702453613281,397.74749755859375
2024-02-22,588.469970703125,483.9906005859375,407.11309814453125
